Ontology ID	OccO Label	Abilities
OCCO:19209901	remote sensing scientists and technologists	written comprehension| problem sensitivity| oral expression| near vision| mathematical reasoning| information ordering
OCCO:19301100	economists	written expression| written comprehension| inductive reasoning| deductive reasoning| speech clarity| oral expression
OCCO:19301101	environmental economists	written comprehension| written expression| mathematical reasoning| inductive reasoning| oral expression| deductive reasoning
OCCO:19302200	survey researchers	oral expression| oral comprehension| written expression| written comprehension| mathematical reasoning| inductive reasoning
OCCO:19303200	industrial-organizational psychologists	written expression| written comprehension| oral expression| oral comprehension| speech recognition| speech clarity
OCCO:19303400	school psychologists	oral comprehension| written comprehension| oral expression| written expression| speech clarity| problem sensitivity
OCCO:19304100	sociologists	written comprehension| oral expression| written expression| oral comprehension| deductive reasoning| speech clarity
OCCO:19305100	urban and regional planners	oral expression| written expression| written comprehension| oral comprehension| speech clarity| problem sensitivity
OCCO:19309200	geographers	written expression| written comprehension| oral expression| oral comprehension| inductive reasoning| deductive reasoning
OCCO:19309300	historians	written comprehension| written expression| oral expression| oral comprehension| inductive reasoning| speech clarity
OCCO:19309400	political scientists	written comprehension| oral expression| written expression| speech clarity| oral comprehension| inductive reasoning
OCCO:19309901	transportation planners	written comprehension| oral expression| written expression| problem sensitivity| oral comprehension| inductive reasoning
OCCO:19401200	agricultural technicians	written comprehension| near vision| problem sensitivity| oral expression| oral comprehension| written expression
OCCO:19401201	precision agriculture technicians	written comprehension| oral comprehension| inductive reasoning| deductive reasoning| written expression| oral expression
OCCO:19401300	food science technicians	written expression| oral expression| oral comprehension| inductive reasoning| written comprehension| problem sensitivity
OCCO:19402100	biological technicians	oral comprehension| near vision| inductive reasoning| oral expression| information ordering| written expression
OCCO:19403100	chemical technicians	written comprehension| oral comprehension| information ordering| near vision| inductive reasoning| deductive reasoning
OCCO:19404200	"environmental science and protection technicians, including health"	written comprehension| oral comprehension| problem sensitivity| oral expression| written expression| deductive reasoning
OCCO:19405102	nuclear monitoring technicians	problem sensitivity| oral expression| oral comprehension| inductive reasoning| deductive reasoning| written comprehension
OCCO:19406100	social science research assistants	written comprehension| oral expression| oral comprehension| written expression| information ordering| near vision
OCCO:19407100	forest and conservation technicians	problem sensitivity| oral expression| oral comprehension| information ordering| written comprehension| inductive reasoning
OCCO:19409200	forensic science technicians	inductive reasoning| flexibility of closure| written comprehension| oral comprehension| near vision| deductive reasoning
OCCO:19409901	quality control analysts	oral comprehension| near vision| written comprehension| oral expression| written expression| problem sensitivity
OCCO:19409903	remote sensing technicians	problem sensitivity| information ordering| deductive reasoning| oral expression| oral comprehension| near vision
OCCO:19501100	occupational health and safety specialists	problem sensitivity| oral comprehension| inductive reasoning| deductive reasoning| written expression| written comprehension
OCCO:19501200	occupational health and safety technicians	oral expression| oral comprehension| written comprehension| inductive reasoning| deductive reasoning| written expression
OCCO:21101100	substance abuse and behavioral disorder counselors	oral expression| oral comprehension| written expression| written comprehension| speech clarity| problem sensitivity
OCCO:21101300	marriage and family therapists	oral comprehension| speech clarity| problem sensitivity| oral expression| written expression| written comprehension
OCCO:21101400	mental health counselors	oral expression| oral comprehension| problem sensitivity| written expression| written comprehension| inductive reasoning
OCCO:21101500	rehabilitation counselors	written expression| written comprehension| speech clarity| oral expression| oral comprehension| speech recognition
OCCO:21102100	"child, family, and school social workers"	oral expression| oral comprehension| problem sensitivity| written expression| written comprehension| speech clarity
OCCO:21102200	healthcare social workers	oral expression| oral comprehension| written comprehension| problem sensitivity| inductive reasoning| deductive reasoning
OCCO:21102300	mental health and substance abuse social workers	oral comprehension| oral expression| problem sensitivity| written expression| written comprehension| inductive reasoning
OCCO:21109200	probation officers and correctional treatment specialists	problem sensitivity| oral expression| oral comprehension| speech recognition| inductive reasoning| deductive reasoning
OCCO:21109300	social and human service assistants	oral expression| speech clarity| problem sensitivity| oral comprehension| written expression| written comprehension
OCCO:21109400	community health workers	oral comprehension| oral expression| written comprehension| written expression| speech recognition| speech clarity
OCCO:21201100	clergy	oral expression| speech clarity| speech recognition| written expression| written comprehension| oral comprehension
OCCO:21202100	"directors, religious activities and education"	written comprehension| oral expression| oral comprehension| written expression| speech recognition| speech clarity
OCCO:23101100	lawyers	oral expression| written comprehension| oral comprehension| speech clarity| written expression| inductive reasoning
OCCO:23101200	judicial law clerks	written comprehension| oral expression| oral comprehension| written expression| speech recognition| inductive reasoning
OCCO:23102100	"administrative law judges, adjudicators, and hearing officers"	oral comprehension| written expression| written comprehension| oral expression| inductive reasoning| deductive reasoning
OCCO:23102200	"arbitrators, mediators, and conciliators"	written expression| written comprehension| speech clarity| oral expression| oral comprehension| inductive reasoning
OCCO:23102300	"judges, magistrate judges, and magistrates"	deductive reasoning| oral comprehension| inductive reasoning| written comprehension| speech clarity| oral expression
OCCO:23201100	paralegals and legal assistants	written comprehension| written expression| oral expression| oral comprehension| near vision| speech recognition
OCCO:23209300	"title examiners, abstractors, and searchers"	written comprehension| oral expression| oral comprehension| written expression| speech recognition| near vision
OCCO:25101100	"business teachers, postsecondary"	oral expression| written comprehension| speech clarity| written expression| oral comprehension| deductive reasoning
OCCO:25102100	"computer science teachers, postsecondary"	written comprehension| oral expression| speech clarity| oral comprehension| deductive reasoning| written expression
OCCO:25102200	"mathematical science teachers, postsecondary"	mathematical reasoning| oral expression| written expression| written comprehension| oral comprehension| number facility
OCCO:25103100	"architecture teachers, postsecondary"	written comprehension| oral expression| written expression| speech clarity| oral comprehension| inductive reasoning
OCCO:25103200	"engineering teachers, postsecondary"	oral expression| written expression| written comprehension| oral comprehension| speech clarity| inductive reasoning
OCCO:25104100	"agricultural sciences teachers, postsecondary"	oral expression| speech clarity| oral comprehension| inductive reasoning| written expression| written comprehension
OCCO:25104200	"biological science teachers, postsecondary"	oral expression| written comprehension| written expression| speech clarity| oral comprehension| inductive reasoning
OCCO:25104300	"forestry and conservation science teachers, postsecondary"	oral expression| written expression| written comprehension| speech clarity| oral comprehension| speech recognition
OCCO:25105100	"atmospheric, earth, marine, and space sciences teachers, postsecondary"	oral expression| speech clarity| written comprehension| oral comprehension| written expression| inductive reasoning
OCCO:25105200	"chemistry teachers, postsecondary"	oral expression| written expression| written comprehension| oral comprehension| inductive reasoning| deductive reasoning
OCCO:25105300	"environmental science teachers, postsecondary"	oral expression| written comprehension| speech clarity| oral comprehension| written expression| inductive reasoning
OCCO:25105400	"physics teachers, postsecondary"	oral expression| written comprehension| oral comprehension| written expression| speech clarity| inductive reasoning
OCCO:25106100	"anthropology and archeology teachers, postsecondary"	oral expression| written comprehension| speech clarity| written expression| oral comprehension| inductive reasoning
