Ontology ID	OccO Label	Skills
OCCO:19102100	biochemists and biophysicists	Science|Reading Comprehension|Critical Thinking|Writing|Speaking|Active Listening
OCCO:19102200	microbiologists	Science|Critical Thinking|Writing|Reading Comprehension|Active Listening|Active Learning
OCCO:19102300	zoologists and wildlife biologists	Science|Active Listening|Writing|Reading Comprehension|Critical Thinking|Speaking
OCCO:19102901	bioinformatics scientists	Reading Comprehension|Critical Thinking|Speaking|Complex Problem Solving|Active Listening|Writing
OCCO:19102902	molecular and cellular biologists	Science|Reading Comprehension|Critical Thinking|Writing|Speaking|Judgment and Decision Making
OCCO:19102903	geneticists	Reading Comprehension|Speaking|Science|Critical Thinking|Active Learning|Writing
OCCO:19102904	biologists	Science|Critical Thinking|Reading Comprehension|Complex Problem Solving|Active Listening|Writing
OCCO:19103102	range managers	Active Listening|Speaking|Critical Thinking|Reading Comprehension|Judgment and Decision Making|Monitoring
OCCO:19103103	park naturalists	Speaking|Reading Comprehension|Social Perceptiveness|Critical Thinking|Active Listening|Writing
OCCO:19103200	foresters	Speaking|Reading Comprehension|Monitoring|Judgment and Decision Making|Critical Thinking|Time Management
OCCO:19104100	epidemiologists	Science|Reading Comprehension|Critical Thinking|Speaking|Judgment and Decision Making|Active Learning
OCCO:19104200	"medical scientists, except epidemiologists"	Science|Critical Thinking|Writing|Reading Comprehension|Active Listening|Speaking
OCCO:19201100	astronomers	Science|Reading Comprehension|Critical Thinking|Active Learning|Writing|Mathematics
OCCO:19201200	physicists	Science|Mathematics|Critical Thinking|Speaking|Reading Comprehension|Complex Problem Solving
OCCO:19202100	atmospheric and space scientists	Science|Reading Comprehension|Speaking|Critical Thinking|Active Listening|Writing
OCCO:19203100	chemists	Science|Reading Comprehension|Critical Thinking|Mathematics|Active Listening|Complex Problem Solving
OCCO:19203200	materials scientists	Science|Reading Comprehension|Critical Thinking|Speaking|Complex Problem Solving|Judgment and Decision Making
OCCO:19204100	"environmental scientists and specialists, including health"	Reading Comprehension|Critical Thinking|Active Listening|Writing|Speaking|Science
OCCO:19204102	environmental restoration planners	Critical Thinking|Active Listening|Reading Comprehension|Writing|Speaking|Science
OCCO:19204103	industrial ecologists	Reading Comprehension|Writing|Critical Thinking|Speaking|Judgment and Decision Making|Active Listening
OCCO:19204200	"geoscientists, except hydrologists and geographers"	Science|Reading Comprehension|Critical Thinking|Speaking|Complex Problem Solving|Active Listening
OCCO:19204300	hydrologists	Critical Thinking|Science|Reading Comprehension|Speaking|Mathematics|Active Listening
OCCO:19209901	remote sensing scientists and technologists	Science|Reading Comprehension|Critical Thinking|Writing|Speaking|Mathematics
OCCO:19301100	economists	Writing|Speaking|Mathematics|Critical Thinking|Active Listening|Reading Comprehension
OCCO:19301101	environmental economists	Writing|Reading Comprehension|Critical Thinking|Judgment and Decision Making|Active Listening|Mathematics
OCCO:19302200	survey researchers	Writing|Speaking|Reading Comprehension|Active Listening|Critical Thinking|Complex Problem Solving
